month,product_series,forecast_units,lower_95,upper_95
2026-04-01,Baby Care,423,365,482
2026-05-01,Baby Care,417,358,476
2026-06-01,Baby Care,480,421,538
2026-07-01,Baby Care,482,423,540
2026-08-01,Baby Care,416,358,475
2026-09-01,Baby Care,419,360,477
2026-10-01,Baby Care,499,441,558
2026-11-01,Baby Care,470,411,529
2026-12-01,Baby Care,448,390,507
2027-01-01,Baby Care,419,360,477
2027-02-01,Baby Care,436,378,495
2027-03-01,Baby Care,461,402,519
2026-04-01,Beverages (Tea/Coffee/Soft Drinks),2214,1879,2548
2026-05-01,Beverages (Tea/Coffee/Soft Drinks),2085,1751,2420
2026-06-01,Beverages (Tea/Coffee/Soft Drinks),2249,1914,2583
2026-07-01,Beverages (Tea/Coffee/Soft Drinks),2287,1952,2621
2026-08-01,Beverages (Tea/Coffee/Soft Drinks),2105,1771,2439
2026-09-01,Beverages (Tea/Coffee/Soft Drinks),2219,1884,2553
2026-10-01,Beverages (Tea/Coffee/Soft Drinks),2655,2321,2989
2026-11-01,Beverages (Tea/Coffee/Soft Drinks),2595,2260,2929
2026-12-01,Beverages (Tea/Coffee/Soft Drinks),2423,2088,2757
2027-01-01,Beverages (Tea/Coffee/Soft Drinks),2587,2253,2921
2027-02-01,Beverages (Tea/Coffee/Soft Drinks),2393,2058,2727
2027-03-01,Beverages (Tea/Coffee/Soft Drinks),2539,2205,2874
2026-04-01,Confectionery & Chocolates,1588,1355,1821
2026-05-01,Confectionery & Chocolates,1503,1270,1736
2026-06-01,Confectionery & Chocolates,1402,1168,1635
2026-07-01,Confectionery & Chocolates,1259,1026,1492
2026-08-01,Confectionery & Chocolates,1314,1081,1547
2026-09-01,Confectionery & Chocolates,1310,1077,1544
2026-10-01,Confectionery & Chocolates,2001,1768,2235
2026-11-01,Confectionery & Chocolates,2193,1960,2426
2026-12-01,Confectionery & Chocolates,1511,1278,1745
2027-01-01,Confectionery & Chocolates,1419,1186,1652
2027-02-01,Confectionery & Chocolates,1644,1411,1877
2027-03-01,Confectionery & Chocolates,1960,1727,2193
2026-04-01,Dairy & Bakery,2876,2487,3264
2026-05-01,Dairy & Bakery,2781,2392,3169
2026-06-01,Dairy & Bakery,2807,2419,3196
2026-07-01,Dairy & Bakery,2746,2358,3135
2026-08-01,Dairy & Bakery,2776,2388,3165
2026-09-01,Dairy & Bakery,2774,2385,3163
2026-10-01,Dairy & Bakery,3290,2901,3679
2026-11-01,Dairy & Bakery,3472,3084,3861
2026-12-01,Dairy & Bakery,3153,2764,3542
2027-01-01,Dairy & Bakery,3280,2892,3669
