month,product_series,category_segment,units_sold,avg_price_inr,festival_flag,monsoon_flag,school_reopening_flag,covid_disruption_flag,promo_flag,competitor_dark_store_count,society_occupancy_pct,online_channel_share_pct
2021-04,Staples (Atta/Rice/Dal),economy,2275,56,0,0,0,1,0,0,55.3,0
2021-04,Dairy & Bakery,mass,1516,47,0,0,0,1,0,0,55.3,0
2021-04,Fruits & Vegetables,mass,1878,39,0,0,0,1,0,0,55.3,0
2021-04,Snacks & Packaged Foods,mass,1280,34,0,0,0,1,0,0,55.3,0
2021-04,Beverages (Tea/Coffee/Soft Drinks),mass,1183,59,0,0,0,1,0,0,55.3,0
2021-04,Personal Care & Hygiene,premium,563,116,0,0,0,1,0,0,55.3,0
2021-04,Home Care & Cleaning,mass,901,84,0,0,0,1,0,0,55.3,0
2021-04,Baby Care,premium,239,149,0,0,0,1,0,0,55.3,0
2021-04,Frozen & Ready-to-eat,premium,321,92,0,0,0,1,1,0,55.3,0
2021-04,Confectionery & Chocolates,mass,704,46,0,0,0,1,0,0,55.3,0
2021-05,Staples (Atta/Rice/Dal),economy,2388,56,0,0,0,1,0,0,55.7,0.5
2021-05,Dairy & Bakery,mass,1524,48,0,0,0,1,0,0,55.7,0.5
2021-05,Fruits & Vegetables,mass,1898,39,0,0,0,1,0,0,55.7,0.5
2021-05,Snacks & Packaged Foods,mass,1300,34,0,0,0,1,0,0,55.7,0.5
2021-05,Beverages (Tea/Coffee/Soft Drinks),mass,1386,57,0,0,0,1,1,0,55.7,0.5
2021-05,Personal Care & Hygiene,premium,539,118,0,0,0,1,0,0,55.7,0.5
2021-05,Home Care & Cleaning,mass,934,86,0,0,0,1,0,0,55.7,0.5
2021-05,Baby Care,premium,219,152,0,0,0,1,0,0,55.7,0.5
2021-05,Frozen & Ready-to-eat,premium,280,98,0,0,0,1,0,0,55.7,0.5
2021-05,Confectionery & Chocolates,mass,689,45,0,0,0,1,0,0,55.7,0.5
2021-06,Staples (Atta/Rice/Dal),economy,2172,54,0,1,1,1,0,0,56.9,0.3
2021-06,Dairy & Bakery,mass,1367,49,0,1,1,1,0,0,56.9,0.3
2021-06,Fruits & Vegetables,mass,1704,40,0,1,1,1,0,0,56.9,0.3
2021-06,Snacks & Packaged Foods,mass,1603,35,0,1,1,1,0,0,56.9,0.3
2021-06,Beverages (Tea/Coffee/Soft Drinks),mass,1116,60,0,1,1,1,0,0,56.9,0.3
2021-06,Personal Care & Hygiene,premium,537,123,0,1,1,1,0,0,56.9,0.3
2021-06,Home Care & Cleaning,mass,963,88,0,1,1,1,0,0,56.9,0.3
2021-06,Baby Care,premium,263,146,0,1,1,1,0,0,56.9,0.3
2021-06,Frozen & Ready-to-eat,premium,336,92,0,1,1,1,1,0,56.9,0.3
2021-06,Confectionery & Chocolates,mass,629,45,0,1,1,1,0,0,56.9,0.3
2021-07,Staples (Atta/Rice/Dal),economy,1878,53,0,1,1,0,0,0,57.9,0
2021-07,Dairy & Bakery,mass,1635,48,0,1,1,0,0,0,57.9,0
2021-07,Fruits & Vegetables,mass,2002,39,0,1,1,0,0,0,57.9,0
2021-07,Snacks & Packaged Foods,mass,1716,36,0,1,1,0,0,0,57.9,0
2021-07,Beverages (Tea/Coffee/Soft Drinks),mass,1263,60,0,1,1,0,0,0,57.9,0
2021-07,Personal Care & Hygiene,premium,630,123,0,1,1,0,0,0,57.9,0
2021-07,Home Care & Cleaning,mass,824,86,0,1,1,0,0,0,57.9,0
2021-07,Baby Care,premium,322,150,0,1,1,0,0,0,57.9,0
2021-07,Frozen & Ready-to-eat,premium,351,92,0,1,1,0,0,0,57.9,0
2021-07,Confectionery & Chocolates,mass,848,46,0,1,1,0,0,0,57.9,0
